AGS,ADMIN,05.03.2020,06.03.2020,07.03.2020,08.03.2020,09.03.2020,10.03.2020,11.03.2020,12.03.20203,13.03.2020,14.03.2020,15.03.2020,16.03.2020,17.03.2020,18.03.2020,19.03.2020,20.03.2020,21.03.2020,22.03.2020,23.03.2020,24.03.2020,25.03.2020,26.03.2020,27.03.2020,28.03.2020,29.03.2020,30.03.2020,31.03.2020,01.04.2020,02.04.2020,03.04.2020,04.04.2020,05.04.2020,06.04.2020
06434,Hochtaunuskreis (Landkreis),1,1,2,2,2,2,3,3,4,5,7,9,18,20,28,40,52,52,67,72,76,88,108,111,129,131,139,146,161,163,172,177,177
09464,Hof (Kreisfreie Stadt),0,0,0,0,0,0,0,0,1,1,1,2,4,4,5,9,9,10,11,11,11,15,19,23,24,26,33,39,43,48,48,51,60
09475,Hof (Landkreis),0,0,0,1,1,1,1,1,1,1,2,5,6,7,7,13,17,40,46,51,66,70,75,85,118,118,120,159,169,182,197,210,210
08126,Hohenlohekreis (Landkreis),0,1,1,1,1,2,2,6,9,25,29,54,54,151,167,178,182,222,222,257,278,278,302,350,404,421,453,453,478,508,537,549,557
03255,Holzminden (Landkreis),0,0,0,0,0,0,0,0,1,1,1,1,9,13,14,19,23,27,27,29,30,36,39,44,47,47,55,62,62,70,73,76,79
05762,Höxter (Kreis),0,0,0,0,0,0,0,0,0,0,2,2,2,4,7,12,16,20,21,21,22,29,34,49,55,63,66,71,72,78,99,122,148
16070,Ilm-Kreis (Landkreis),0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,4,5,7,11,13,20,24,30,43,51,55,58,61,65,72,79,80,93
09161,Ingolstadt (Kreisfreie Stadt),0,0,0,1,1,1,1,1,1,1,1,3,3,3,3,4,4,5,5,12,14,27,29,46,76,79,80,96,108,114,163,188,205
16053,Jena (Kreisfreie Stadt),0,0,0,0,0,0,0,0,0,2,8,9,12,20,30,45,55,55,77,90,93,94,102,110,114,116,117,122,126,135,136,139,142
15086,Jerichower Land (Landkreis),0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,6,6,6,7,10,13,16,16,16,16,18,20,20,20,22,22,25
07312,Kaiserslautern (Kreisfreie Stadt),3,3,4,4,4,4,4,4,5,6,9,9,9,9,11,13,13,19,24,30,36,46,48,53,53,54,56,59,63,69,70,71,71
07335,Kaiserslautern (Landkreis),0,0,0,0,0,2,3,3,3,3,5,5,11,13,13,13,20,28,36,41,48,52,54,59,61,61,69,74,78,80,80,82,82
08215,Karlsruhe (Landkreis),0,1,2,4,4,5,9,13,16,16,29,29,43,56,77,99,151,171,186,188,203,227,252,282,308,353,365,373,410,452,484,621,640
08212,Karlsruhe (Stadtkreis),1,1,1,3,3,3,3,3,8,8,14,14,25,31,43,55,57,60,71,80,94,106,111,131,144,152,161,163,178,197,206,228,238
06611,Kassel (Kreisfreie Stadt),0,0,0,0,0,0,0,0,3,9,10,10,10,15,26,34,38,43,43,43,46,53,62,67,75,81,84,84,89,93,98,101,103
06633,Kassel (Landkreis),0,0,0,0,0,1,1,2,3,5,11,12,12,18,27,32,38,39,44,44,46,51,61,74,77,81,82,87,95,100,106,112,114
09762,Kaufbeuren (Kreisfreie Stadt),0,0,0,0,0,0,0,0,0,1,1,2,5,5,5,5,7,7,7,7,8,11,15,16,18,30,31,32,32,41,45,52,56
09273,Kelheim (Landkreis),0,0,0,0,1,2,2,3,3,3,3,6,6,6,14,22,26,36,42,50,56,62,76,89,101,126,127,132,154,193,218,238,258
09763,Kempten (Allgäu) (Kreisfreie Stadt),0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,24,28,30,34,38,39,40,42,43,44,49,53,53
01002,Kiel (Kreisfreie Stadt),0,0,0,0,0,0,0,6,7,11,12,13,17,18,25,34,36,37,41,51,51,63,66,74,74,100,114,121,124,136,146,157,160
09675,Kitzingen (Landkreis),0,0,0,0,0,0,0,1,1,1,4,5,5,5,9,10,11,11,13,13,14,18,18,23,29,29,29,29,34,40,46,56,60
05154,Kleve (Kreis),0,0,0,0,0,0,0,2,7,10,10,36,42,70,74,83,111,111,121,131,142,162,179,211,211,236,237,247,260,278,288,303,304
07111,Koblenz (Kreisfreie Stadt),0,0,0,1,3,5,5,5,6,8,8,8,21,27,36,42,51,60,67,75,95,109,122,127,138,141,141,148,155,157,164,167,167
05315,Köln (Kreisfreie Stadt),12,15,18,29,29,33,33,43,65,123,180,244,301,384,478,586,679,773,817,857,921,1002,1075,1161,1249,1319,1369,1431,1540,1666,1715,1748,1768
08335,Konstanz (Landkreis),0,0,0,1,1,1,1,2,10,23,28,28,36,45,45,62,69,84,84,91,95,110,118,136,145,145,185,203,234,247,262,267,267
05114,Krefeld (Kreisfreie Stadt),0,0,0,0,0,0,0,0,10,10,21,35,36,43,54,62,73,84,92,92,97,117,138,147,185,210,208,211,225,240,251,264,264
09476,Kronach (Landkreis),0,0,0,0,0,0,0,0,0,0,2,2,3,3,4,4,4,12,13,16,26,27,34,46,46,52,52,54,54,62,65,70,73
09477,Kulmbach (Landkreis),0,0,0,0,0,0,0,0,0,0,1,1,1,1,12,12,12,21,21,33,33,42,52,69,69,74,74,80,93,95,102,102,106
07336,Kusel (Landkreis),0,0,0,0,0,0,0,0,0,1,13,13,14,14,18,18,18,19,21,23,25,30,31,35,35,45,45,46,52,54,60,60,64
16065,Kyffhäuserkreis (Landkreis),0,0,0,0,0,2,2,2,5,6,6,6,8,8,8,8,10,12,12,12,12,15,17,19,19,19,19,19,23,23,25,27,27
06532,Lahn-Dill-Kreis (Landkreis),2,2,2,2,2,4,4,4,5,5,9,10,18,21,21,23,66,87,87,87,87,96,110,138,138,152,176,181,200,219,227,227,227
07313,Landau in der Pfalz (Kreisfreie Stadt),0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,4,6,8,8,18,18,19,29,32,35,35,38,43,46,47,48,48
09181,Landsberg am Lech (Landkreis),0,0,0,0,0,2,2,2,3,3,3,4,5,10,14,14,18,24,44,48,51,55,98,109,110,124,136,138,156,163,175,206,217
09261,Landshut (Kreisfreie Stadt),0,0,0,0,0,0,0,0,0,1,1,4,4,4,4,12,24,24,32,38,38,42,71,81,81,91,93,118,131,136,147,153,163
09274,Landshut (Landkreis),0,0,0,0,0,0,1,1,1,2,12,25,25,25,29,36,73,73,118,121,121,174,200,200,206,240,255,276,317,345,362,368,403
03457,Leer (Landkreis),1,1,1,1,1,1,1,1,1,1,1,3,3,7,10,12,12,13,14,14,17,20,25,28,33,34,38,41,44,49,53,54,59
14713,Leipzig (Kreisfreie Stadt),0,0,1,1,2,2,4,4,6,16,19,31,41,71,72,94,119,129,144,161,181,204,218,242,270,316,319,323,332,361,378,403,421
14729,Leipzig (Landkreis),0,0,0,1,1,4,4,4,8,11,11,17,17,17,25,28,33,39,39,45,50,59,68,72,77,91,94,99,110,117,123,130,134
05316,Leverkusen (Kreisfreie Stadt),0,0,0,0,0,0,0,2,3,5,5,5,20,21,31,31,40,45,48,48,58,65,74,82,88,102,102,113,127,131,141,146,149
09478,Lichtenfels (Landkreis),0,0,0,0,0,0,0,0,0,0,1,1,1,3,5,5,7,7,20,21,25,27,46,54,57,74,79,81,88,105,112,115,125
06533,Limburg-Weilburg (Landkreis),0,0,0,0,0,0,0,0,0,0,1,1,4,8,12,36,45,57,58,68,99,111,115,137,147,149,149,160,174,179,191,194,198
09776,Lindau (Bodensee) (Landkreis),2,2,2,4,4,5,5,6,6,8,12,12,19,19,21,23,35,51,51,51,53,67,80,93,100,102,120,128,131,142,167,176,188
05766,Lippe (Kreis),0,1,1,1,1,1,11,19,31,36,47,47,55,87,107,112,133,138,158,170,188,204,230,261,278,289,302,325,347,393,429,455,468
08336,Lörrach (Landkreis),1,1,1,1,1,1,1,1,5,10,13,15,19,27,49,63,81,95,99,117,137,153,163,170,207,215,230,274,317,339,360,389,396
01003,Lübeck (Kreisfreie Stadt),1,1,1,2,2,2,2,7,7,8,9,10,11,11,18,19,43,53,56,57,63,63,63,67,69,69,77,88,97,98,101,103,103
03354,Lüchow-Dannenberg (Landkreis),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6,6,6,7,7,9,9,9,8,8,10,11,12,12,13
08118,Ludwigsburg (Landkreis),3,3,5,7,7,8,11,12,18,24,39,39,39,87,112,126,175,190,236,282,351,418,507,594,642,682,723,746,835,904,977,1056,1072
07314,Ludwigshafen am Rhein (Kreisfreie Stadt),0,0,0,0,0,0,0,0,1,1,1,1,3,9,10,12,13,17,17,20,25,35,48,52,54,54,82,86,91,97,117,117,126
13076,Ludwigslust-Parchim (Landkreis),0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,13,18,18,19,24,27,27,28,31,37,37,39,44,45,45,47,54,54
03355,Lüneburg (Landkreis),0,0,0,0,0,0,0,0,1,1,3,3,6,26,42,45,53,54,61,61,65,69,71,75,82,82,82,97,100,108,113,119,120
15003,Magdeburg (Kreisfreie Stadt),0,0,0,0,0,0,1,3,6,7,11,11,16,20,27,29,39,39,39,50,56,57,65,71,71,71,79,84,87,87,88,89,88
06435,Main-Kinzig-Kreis (Landkreis),1,1,1,1,1,1,1,1,11,12,21,25,28,33,40,55,64,70,73,76,81,100,106,120,148,151,162,183,203,227,240,255,257
09677,Main-Spessart (Landkreis),0,0,0,0,0,1,1,1,1,1,5,5,5,8,8,9,11,12,14,15,21,32,38,41,51,56,67,67,75,76,82,91,104
08128,Main-Tauber-Kreis (Landkreis),1,1,2,23,23,24,24,25,31,32,33,33,33,34,36,39,43,57,58,60,63,70,78,97,119,119,120,141,175,182,198,233,237
06436,Main-Taunus-Kreis (Landkreis),0,0,0,0,0,0,2,3,3,8,12,14,14,16,18,28,40,54,55,67,84,92,101,114,114,115,136,145,153,159,165,165,165
07315,Mainz (Kreisfreie Stadt),1,1,1,1,2,2,2,3,4,11,11,16,19,28,35,45,55,62,81,82,90,99,115,125,144,180,182,187,196,212,222,238,249
07339,Mainz-Bingen (Landkreis),0,1,1,1,1,1,2,3,3,10,18,18,18,20,24,30,37,47,54,57,65,76,84,91,103,113,115,117,150,175,191,206,211
08222,Mannheim (Stadtkreis),4,4,5,7,7,9,9,13,14,28,37,44,64,72,79,88,102,116,128,147,157,168,179,196,196,218,226,236,251,267,288,294,319
15087,Mansfeld-Südharz (Landkreis),0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,4,5,8,10,14,14,16,16,16,16,16,19,20,25,26,29,29,30
06534,Marburg-Biedenkopf (Landkreis),0,0,0,0,0,0,3,3,7,7,10,23,28,34,35,43,44,56,56,65,75,78,94,110,110,117,119,128,131,133,141,141,141
05962,Märkischer Kreis (Kreis),1,3,5,5,5,6,6,7,10,13,13,18,18,27,29,31,33,38,38,44,47,51,70,81,89,100,118,127,146,165,174,175,175
12064,Märkisch-Oderland (Landkreis),0,0,0,0,0,0,2,2,3,5,5,13,13,13,26,29,40,41,41,47,47,62,69,70,71,76,80,86,94,94,102,108,112
07137,Mayen-Koblenz (Landkreis),0,2,2,2,2,2,4,4,4,7,11,13,46,62,90,102,108,120,126,151,159,165,176,178,190,196,201,212,224,234,245,249,250
13071,Mecklenburgische Seenplatte (Landkreis),1,1,1,2,4,4,5,6,6,7,7,7,9,13,19,20,23,26,28,30,36,40,41,46,56,58,60,71,79,83,90,93,94
14627,Meißen (Landkreis),0,0,0,0,0,0,0,3,3,5,9,9,9,11,12,17,18,21,25,26,34,38,42,52,60,68,69,77,87,96,106,115,121
09764,Memmingen (Kreisfreie Stadt),0,0,0,0,0,0,0,0,0,0,1,1,1,3,5,8,9,14,15,15,17,21,23,26,26,26,27,29,29,31,36,36,40
10042,Merzig-Wadern (Landkreis),0,0,0,0,0,1,1,3,4,4,4,6,8,10,11,14,15,19,20,24,25,30,37,37,45,52,55,64,66,74,84,84,121
05158,Mettmann (Kreis),1,1,2,2,2,2,8,11,16,19,31,31,44,62,87,101,154,179,197,202,232,248,271,284,305,320,322,413,451,484,519,542,585
09182,Miesbach (Landkreis),2,2,3,4,4,5,5,6,6,13,13,15,15,32,44,57,58,61,108,156,171,185,217,240,268,288,301,316,338,354,364,397,397
09676,Miltenberg (Landkreis),0,0,0,0,0,0,0,0,0,0,4,4,4,5,15,25,25,41,47,47,50,60,72,79,92,92,103,107,124,150,157,174,178
05770,Minden-Lübbecke (Kreis),0,0,1,1,1,1,5,9,14,18,47,55,73,87,98,118,140,153,153,166,184,207,223,241,246,256,268,294,340,364,385,397,397
14522,Mittelsachsen (Landkreis),0,0,0,0,0,0,0,0,0,0,3,3,3,6,13,17,24,24,24,35,44,51,61,68,83,85,96,102,109,127,141,159,161
05116,Mönchengladbach (Kreisfreie Stadt),3,3,5,7,7,7,8,8,17,28,35,36,37,44,46,51,72,100,104,109,119,124,135,151,168,174,178,182,217,235,250,265,294
09183,Mühldorf a. Inn (Landkreis),0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,10,16,20,38,41,56,67,77,93,125,136,157,161,180,217,246,271,281
05117,Mülheim an der Ruhr (Kreisfreie Stadt),0,0,0,0,0,0,0,0,5,9,9,9,12,16,21,30,36,36,42,42,43,45,52,55,62,68,74,78,86,97,100,101,105
09162,München (Kreisfreie Stadt),15,16,26,26,57,61,62,65,98,149,201,242,260,359,509,676,878,1042,1042,1316,1381,1576,1687,1845,2080,2256,2501,2699,2926,3099,3304,3449,3642
09184,München (Landkreis),0,3,3,7,7,14,14,15,25,32,32,38,75,75,103,134,200,219,246,279,327,373,429,462,539,561,574,626,675,735,783,849,893
05515,Münster (Kreisfreie Stadt),2,4,4,4,4,5,6,8,20,29,43,57,90,103,135,173,219,243,266,279,305,352,371,414,443,443,468,487,503,522,537,552,559
08225,Neckar-Odenwald-Kreis (Landkreis),0,0,1,1,1,1,2,2,3,7,7,10,10,13,19,24,30,35,39,39,45,50,63,72,80,88,91,101,111,120,134,146,148
09185,Neuburg-Schrobenhausen (Landkreis),0,0,0,0,0,0,0,0,0,0,0,3,3,3,9,9,22,28,28,32,40,44,56,59,62,69,77,89,100,107,116,121,121
09373,Neumarkt i.d. OPf. (Landkreis),0,0,0,0,0,0,2,2,2,2,5,5,5,11,17,18,18,18,18,18,35,43,43,43,69,80,87,110,118,123,131,138,146
01004,Neumünster (Kreisfreie Stadt),0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,7,7,7,10,11,12,13,15,15,15,19,24,25,29,30,30,31
10043,Neunkirchen (Landkreis),0,0,0,0,0,1,1,2,3,4,4,9,13,13,22,26,34,34,34,47,47,49,64,78,81,98,106,114,126,135,144,151,154
09575,Neustadt a.d. Aisch-Bad Windsheim (Landkreis),0,3,3,3,3,3,4,4,4,4,4,4,4,4,6,6,7,10,10,20,22,25,40,42,43,50,62,62,69,84,84,84,94
09374,Neustadt a.d. Waldnaab (Landkreis),0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,16,27,30,33,62,72,99,148,152,184,212,242,290,343,373,406
07316,Neustadt an der Weinstraße (Kreisfreie Stadt),0,0,0,0,0,1,1,1,1,1,4,4,5,5,7,8,8,10,10,11,40,40,42,45,45,50,54,57,59,64,65,67,71
09775,Neu-Ulm (Landkreis),2,2,2,2,2,2,2,2,3,8,8,9,10,10,17,19,34,47,58,58,72,80,94,100,121,126,132,145,170,191,207,219,235
07138,Neuwied (Landkreis),0,0,0,0,1,1,1,2,2,8,10,10,14,36,36,52,61,61,73,87,91,107,112,123,123,123,145,145,145,153,155,156,161
03256,Nienburg (Weser) (Landkreis),0,0,0,0,0,0,0,0,2,2,2,2,5,6,6,8,15,15,17,19,21,22,22,24,26,27,29,36,38,39,42,42,52
01054,Nordfriesland (Kreis),0,0,0,0,0,0,0,0,0,1,1,2,2,2,10,10,16,18,19,19,20,22,24,27,36,39,39,40,42,45,48,48,49
16062,Nordhausen (Landkreis),0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,4,6,6,7,9,10,10,11,15,17,17,17,21,21,21
14730,Nordsachsen (Landkreis),0,0,0,0,0,0,0,0,0,2,2,3,3,6,6,10,15,15,17,17,20,21,26,29,31,37,37,41,55,61,73,74,79
13074,Nordwestmecklenburg (Landkreis),0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,15,17,17,17,18,21,24,24,25,28,28,28,36,38,44,51,51,51
03155,Northeim (Landkreis),0,0,0,0,0,0,0,0,3,4,5,5,7,7,7,13,17,17,17,22,27,29,32,33,33,33,40,41,42,49,53,53,53
09564,Nürnberg (Kreisfreie Stadt),3,4,8,9,9,12,13,14,15,19,27,27,28,30,53,61,74,74,93,116,134,180,202,213,230,237,250,268,326,361,412,451,483
09574,Nürnberger Land (Landkreis),0,0,0,1,1,1,1,1,1,1,3,3,6,7,23,36,40,40,71,79,93,124,138,154,154,201,215,234,282,320,357,357,375
09780,Oberallgäu (Landkreis),0,1,1,1,4,7,8,9,14,14,14,24,28,34,36,45,45,50,50,51,51,63,70,77,87,91,96,99,105,108,117,127,130
05374,Oberbergischer Kreis (Kreis),2,2,5,5,5,6,6,10,14,14,26,26,33,50,51,69,78,100,100,101,124,141,163,180,203,222,235,267,280,303,306,314,314
05119,Oberhausen (Kreisfreie Stadt),0,0,0,0,0,0,0,1,3,8,10,10,12,13,18,26,35,35,36,37,38,44,48,61,63,66,68,69,78,83,91,108,108
12065,Oberhavel (Landkreis),1,1,1,1,1,1,1,1,1,1,1,4,4,5,13,23,29,37,37,37,50,54,65,76,85,95,101,106,115,119,126,133,137
12066,Oberspreewald-Lausitz (Landkreis),0,0,0,0,0,1,1,2,2,2,2,2,5,5,5,5,6,6,11,11,11,13,13,14,16,18,18,19,22,25,28,28,28
06437,Odenwaldkreis (Landkreis),0,0,0,0,0,0,0,0,0,0,2,2,2,7,8,13,16,17,23,24,24,31,46,47,58,60,60,70,93,97,106,131,131
12067,Oder-Spree (Landkreis),0,0,0,0,0,0,0,1,2,4,7,7,11,14,23,32,37,42,46,46,49,51,60,69,73,75,75,79,80,80,81,83,83
06438,Offenbach (Landkreis),0,0,0,0,0,1,1,1,7,8,8,19,19,23,35,50,65,73,76,86,95,112,122,131,160,176,176,179,194,207,219,232,241
06413,Offenbach am Main (Kreisfreie Stadt),0,0,0,0,0,0,1,1,1,1,1,1,5,5,5,5,6,6,9,11,13,15,18,19,22,24,26,26,29,32,33,34,35
03458,Oldenburg (Landkreis),0,1,1,1,1,1,1,1,4,4,4,4,4,8,9,12,15,16,16,16,25,33,45,56,60,96,108,113,119,146,159,159,169
03403,Oldenburg (Oldb) (Kreisfreie Stadt),1,1,1,2,2,2,6,6,6,11,11,11,18,25,26,30,31,31,31,49,61,74,76,91,91,91,107,111,116,130,143,143,143
05966,Olpe (Kreis),0,0,0,0,0,0,0,0,6,6,6,6,12,14,14,14,17,18,18,19,35,45,85,93,93,102,127,147,166,193,199,216,228
08317,Ortenaukreis (Landkreis),0,0,2,6,7,12,12,17,17,24,24,25,43,49,60,76,82,92,110,122,135,164,180,214,272,304,327,366,401,483,550,597,624
03404,Osnabrück (Kreisfreie Stadt),0,0,0,0,0,1,1,1,7,7,19,19,38,54,62,83,101,108,119,135,145,174,197,199,215,224,249,259,267,276,285,300,312
03459,Osnabrück (Landkreis),0,1,1,1,1,2,2,2,15,15,39,39,47,50,61,74,91,107,119,134,146,175,213,236,256,279,288,319,331,361,418,448,472
08136,Ostalbkreis (Landkreis),3,3,3,3,3,4,4,5,12,20,27,45,52,96,109,123,138,138,180,201,249,294,348,390,422,468,494,514,560,601,629,644,662
09777,Ostallgäu (Landkreis),3,3,4,4,4,4,5,5,6,8,10,10,11,14,16,16,24,26,38,40,69,78,94,100,116,133,149,156,171,203,258,280,296
03356,Osterholz (Landkreis),0,0,0,0,0,0,2,2,8,12,12,12,16,20,20,22,24,24,24,27,29,32,36,42,42,42,49,50,55,56,57,57,57
01055,Ostholstein (Kreis),0,0,0,0,0,0,1,1,1,1,2,2,4,4,4,7,11,12,13,13,17,18,22,23,23,23,23,32,39,43,47,51,51
12068,Ostprignitz-Ruppin (Landkreis),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,7,7,7,7,9,9,11,12,12,13,15,18,19,21,26,31
05774,Paderborn (Kreis),0,0,1,2,2,2,2,6,16,32,36,36,41,52,59,71,75,78,88,92,104,120,148,172,191,191,218,252,291,334,351,368,386
09262,Passau (Kreisfreie Stadt),1,1,2,2,2,2,2,2,2,2,2,3,3,3,4,5,6,7,7,16,16,22,24,27,37,39,45,52,55,57,78,78,90
09275,Passau (Landkreis),1,1,1,1,1,3,3,3,5,5,7,15,15,15,19,22,23,30,30,39,47,47,73,93,112,112,117,120,136,173,212,239,262
03157,Peine (Landkreis),0,0,0,0,0,0,0,0,0,0,2,2,2,8,8,11,15,20,21,21,25,31,40,40,54,62,77,90,94,99,105,108,110
09186,Pfaffenhofen a.d. Ilm (Landkreis),0,0,0,0,1,1,2,3,7,7,7,7,10,11,16,19,22,30,32,32,32,40,54,56,74,100,107,115,131,151,168,183,200
08231,Pforzheim (Stadtkreis),0,0,0,0,0,0,0,3,4,4,4,6,6,7,7,11,19,19,21,22,23,23,25,25,29,37,40,47,57,65,66,69,74
01056,Pinneberg (Kreis),1,1,2,2,2,2,4,4,5,5,18,24,24,27,54,60,76,76,88,92,115,122,155,178,178,188,205,233,250,271,304,304,339
07317,Pirmasens (Kreisfreie Stadt),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,7,7,7,11,12,12,12,15,15,15,17,19,19,23,23
01057,Plön (Kreis),0,0,0,0,0,2,2,2,2,2,2,6,6,6,8,10,11,12,12,21,23,31,38,45,50,54,54,56,58,64,68,72,73
12054,Potsdam (Kreisfreie Stadt),0,0,0,0,0,0,0,0,0,0,1,1,7,13,17,30,37,48,49,52,56,63,79,87,108,109,139,146,160,203,229,245,264
12069,Potsdam-Mittelmark (Landkreis),0,0,0,0,0,0,0,2,3,4,4,7,7,8,14,20,28,32,35,38,40,54,65,88,93,98,98,120,137,145,175,188,199
12070,Prignitz (Landkreis),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,6,6,6,9,9,9,9,9,9,9,9,9,13
08216,Rastatt (Landkreis),0,0,0,2,3,3,4,4,13,16,16,26,36,39,58,69,83,96,110,149,158,182,196,230,249,269,279,288,307,331,345,360,371
08436,Ravensburg (Landkreis),0,1,2,2,3,3,6,8,11,18,18,50,50,70,93,102,110,110,134,137,202,274,296,320,334,336,336,365,384,390,406,406,417
05562,Recklinghausen (Kreis),0,1,1,1,1,1,2,9,19,37,46,51,51,63,70,96,125,143,149,162,195,222,264,304,312,328,357,385,417,463,490,500,540
09276,Regen (Landkreis),0,0,0,0,0,0,0,0,0,3,6,6,18,18,20,20,23,24,25,25,25,34,39,40,40,40,43,44,54,60,70,79,89
09362,Regensburg (Kreisfreie Stadt),0,0,0,0,0,0,0,0,0,2,7,7,7,17,38,62,74,74,82,90,98,105,124,133,146,152,158,166,183,207,222,239,263
09375,Regensburg (Landkreis),0,0,0,1,1,4,4,7,7,7,12,14,14,19,27,56,67,67,76,85,87,94,107,121,132,147,156,162,174,195,217,238,259
03241,Region Hannover (Landkreis),2,3,3,3,4,7,11,17,25,59,60,60,121,138,173,238,304,310,341,368,428,510,588,661,692,738,811,867,911,976,1039,1072,1110
10041,Regionalverband Saarbrücken (Landkreis),1,1,1,1,1,1,1,5,8,10,10,20,27,27,63,86,102,114,121,147,163,169,190,211,250,268,268,359,421,511,534,582,648
05120,Remscheid (Kreisfreie Stadt),0,0,0,4,4,4,4,4,5,7,7,8,8,14,15,19,21,21,23,33,34,38,41,45,54,56,59,61,69,80,89,92,92
08119,Rems-Murr-Kreis (Landkreis),2,2,4,4,5,5,6,6,22,26,26,42,49,54,68,110,117,133,175,202,211,240,286,353,374,445,506,519,555,595,688,744,771
01058,Rendsburg-Eckernförde (Kreis),0,0,0,0,0,0,0,1,1,1,8,8,12,13,16,21,24,30,33,37,46,56,73,89,100,112,112,125,128,137,147,158,166
08415,Reutlingen (Landkreis),0,0,0,0,0,0,1,5,11,13,19,30,34,43,49,71,96,96,96,127,152,172,206,235,249,249,374,433,472,557,591,666,681
05362,Rhein-Erft-Kreis (Kreis),1,2,2,2,2,2,3,6,12,13,22,52,63,89,104,113,149,160,182,199,240,253,267,276,305,326,351,363,400,442,482,532,555
06439,Rheingau-Taunus-Kreis (Landkreis),0,0,0,0,0,2,2,2,5,16,23,24,24,25,27,31,31,31,31,51,59,59,89,89,89,107,107,113,117,135,141,147,147
07140,Rhein-Hunsrück-Kreis (Landkreis),0,0,0,0,0,0,0,1,4,6,7,14,26,28,33,39,46,46,47,55,64,68,72,79,89,100,102,106,109,114,116,118,124
05378,Rheinisch-Bergischer Kreis (Kreis),3,3,3,3,3,8,11,12,18,30,30,30,52,60,69,81,95,95,95,135,141,152,163,171,187,200,212,219,226,236,250,258,281
05162,Rhein-Kreis Neuss (Kreis),1,1,2,2,2,2,2,5,8,19,19,19,44,50,50,60,86,112,133,179,220,220,245,257,282,319,361,362,396,425,448,455,475
07141,Rhein-Lahn-Kreis (Landkreis),0,0,0,0,0,0,0,0,4,5,6,6,7,15,26,27,33,34,37,48,50,54,64,70,80,81,82,90,90,100,107,111,115
08226,Rhein-Neckar-Kreis (Landkreis),2,3,4,7,10,13,14,19,28,33,52,70,77,109,127,154,182,240,276,276,330,371,413,460,489,521,564,591,625,654,703,703,713
07338,Rhein-Pfalz-Kreis (Landkreis),0,0,0,0,0,0,0,1,1,1,1,1,1,3,5,7,10,10,10,27,39,44,57,67,67,67,105,113,121,139,142,142,142
05382,Rhein-Sieg-Kreis (Kreis),0,0,2,2,2,7,12,19,24,32,32,77,77,111,158,228,260,260,262,336,356,417,460,490,490,543,552,581,619,675,714,714,789
09673,Rhön-Grabfeld (Landkreis),0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,11,11,11,13,18,21,23,29,37,38,38,41,41,46,52,65,76,76
09163,Rosenheim (Kreisfreie Stadt),1,1,1,1,2,2,2,2,2,2,2,2,2,4,10,15,18,33,43,48,49,53,88,101,111,128,140,146,172,208,223,228,245
09187,Rosenheim (Landkreis),0,0,0,0,0,3,3,7,13,16,17,27,31,45,68,75,84,144,225,231,258,384,500,623,623,745,747,777,861,963,1078,1105,1172
13003,Rostock (Kreisfreie Stadt),0,0,0,0,0,0,2,2,4,6,8,10,11,16,23,23,23,25,27,29,29,34,38,48,53,56,58,59,60,61,62,64,64
13072,Rostock (Landkreis),0,0,0,0,0,2,3,3,6,8,10,11,11,13,13,13,17,17,17,18,20,24,24,25,26,26,29,31,32,37,42,44,46
03357,Rotenburg (Wümme) (Landkreis),2,2,2,2,2,2,3,5,5,5,7,7,18,18,19,22,25,30,34,34,36,38,42,49,50,54,55,55,58,63,66,67,72
09576,Roth (Landkreis),1,2,2,2,2,2,2,2,3,3,3,4,5,5,7,8,12,12,14,21,25,27,47,60,69,82,82,90,110,149,166,166,183
09277,Rottal-Inn (Landkreis),0,0,0,0,0,0,1,2,7,7,10,14,17,30,36,46,55,59,75,87,110,144,160,180,192,243,286,313,355,374,410,432,494
08325,Rottweil (Landkreis),1,1,1,1,1,1,1,1,1,2,3,4,4,5,5,5,8,8,8,17,17,50,86,98,108,128,138,152,161,189,233,257,289
16074,Saale-Holzland-Kreis (Landkreis),0,0,0,0,0,0,1,1,3,3,3,3,3,4,5,10,14,14,17,17,18,19,20,21,22,27,28,29,30,35,36,36,45
15088,Saalekreis (Landkreis),0,0,0,0,0,0,1,1,1,1,1,1,3,3,6,12,15,19,22,23,32,41,46,50,56,56,58,63,71,77,80,82,83
16075,Saale-Orla-Kreis (Landkreis),1,1,1,1,1,3,3,3,3,3,3,3,3,3,4,5,6,7,7,9,9,9,10,27,27,27,32,34,37,47,60,61,65
